engine,nodes,puzzles,first_move_accuracy,full_line_accuracy,solved_puzzles,solved_rate,matched_moves,expected_moves
custom,1000,10000,0.8884,0.6669982866301885,6621,0.6621,24136,36186
official,1000,10000,0.9187,0.7036422925993479,6884,0.6884,25462,36186
custom,3000,10000,0.9444,0.7354225391035207,7123,0.7123,26612,36186
official,3000,10000,0.9645,0.76104018128558,7315,0.7315,27539,36186
custom,5000,10000,0.9665,0.7636378709998342,7325,0.7325,27633,36186
official,5000,10000,0.9783,0.7801635991820041,7459,0.7459,28231,36186
custom,10000,10000,0.9761,0.7819046039904936,7487,0.7487,28294,36186
official,10000,10000,0.9857,0.795583927485768,7617,0.7617,28789,36186
custom,20000,10000,0.9842,0.7950588625435251,7602,0.7602,28770,36186
official,20000,10000,0.9901,0.8019123417896424,7652,0.7652,29018,36186
custom,50000,10000,0.9901,0.8038467915768529,7675,0.7675,29088,36186
official,50000,10000,0.9933,0.8075775161664732,7695,0.7695,29223,36186
custom,100000,10000,0.9934,0.8120267506770574,7743,0.7743,29384,36186
official,100000,10000,0.9952,0.8118885756922567,7771,0.7771,29379,36186
